basis,torsion angle (deg),method,state index,spin multiplicity,spin type,energy (Hartree)
cc-pvdz,126.0,LDA,1,1,INVARIANT,-77.69417837043703
cc-pvdz,126.0,LDA,2,1,INVARIANT,-77.5464773997785
cc-pvdz,126.0,LDA,3,1,INVARIANT,-77.45066223742292
cc-pvdz,128.0,LDA,1,1,INVARIANT,-77.69799483143129
cc-pvdz,128.0,LDA,2,1,INVARIANT,-77.5442632343892
cc-pvdz,128.0,LDA,3,1,INVARIANT,-77.44227403693203
cc-pvdz,130.0,LDA,1,1,INVARIANT,-77.70167458788396
cc-pvdz,130.0,LDA,2,1,INVARIANT,-77.5419473840537
cc-pvdz,130.0,LDA,3,1,INVARIANT,-77.43380328149175
cc-pvdz,132.0,LDA,1,1,INVARIANT,-77.7052146012483
cc-pvdz,132.0,LDA,2,1,INVARIANT,-77.5395332682935
cc-pvdz,132.0,LDA,3,1,INVARIANT,-77.42525763904159
cc-pvdz,134.0,LDA,1,1,INVARIANT,-77.70861261016175
cc-pvdz,134.0,LDA,2,1,INVARIANT,-77.53702454079529
cc-pvdz,134.0,LDA,3,1,INVARIANT,-77.41664442260885
cc-pvdz,136.0,LDA,1,1,INVARIANT,-77.7118667080025
cc-pvdz,136.0,LDA,2,1,INVARIANT,-77.53442536047045
cc-pvdz,136.0,LDA,3,1,INVARIANT,-77.40797096641901
cc-pvdz,138.0,LDA,1,1,INVARIANT,-77.7149756304594
cc-pvdz,138.0,LDA,2,1,INVARIANT,-77.53174035356183
cc-pvdz,138.0,LDA,3,1,INVARIANT,-77.39924457774165
cc-pvdz,140.0,LDA,1,1,INVARIANT,-77.7179385526817
cc-pvdz,140.0,LDA,2,1,INVARIANT,-77.5289747676552
cc-pvdz,140.0,LDA,3,1,INVARIANT,-77.39047268147944
cc-pvdz,142.0,LDA,1,1,INVARIANT,-77.72075512953494
cc-pvdz,142.0,LDA,2,1,INVARIANT,-77.5261344509266
cc-pvdz,142.0,LDA,3,1,INVARIANT,-77.38166279680911
cc-pvdz,144.0,LDA,1,1,INVARIANT,-77.72342543323913
cc-pvdz,144.0,LDA,2,1,INVARIANT,-77.52322592397212
cc-pvdz,144.0,LDA,3,1,INVARIANT,-77.37282251827531
cc-pvdz,146.0,LDA,1,1,INVARIANT,-77.7259500408704
cc-pvdz,146.0,LDA,2,1,INVARIANT,-77.52025639294557
cc-pvdz,146.0,LDA,3,1,INVARIANT,-77.3639595167558
cc-pvdz,148.0,LDA,1,1,INVARIANT,-77.72833005375311
cc-pvdz,148.0,LDA,2,1,INVARIANT,-77.5172339092703
cc-pvdz,148.0,LDA,3,1,INVARIANT,-77.35508162519041
cc-pvdz,150.0,LDA,1,1,INVARIANT,-77.73056722394676
cc-pvdz,150.0,LDA,2,1,INVARIANT,-77.51416751796319
cc-pvdz,150.0,LDA,3,1,INVARIANT,-77.34619694219629
cc-pvdz,152.0,LDA,1,1,INVARIANT,-77.73266410189395
cc-pvdz,152.0,LDA,2,1,INVARIANT,-77.51106739833452
cc-pvdz,152.0,LDA,3,1,INVARIANT,-77.3373139280411
cc-pvdz,154.0,LDA,1,1,INVARIANT,-77.73462402326216
cc-pvdz,154.0,LDA,2,1,INVARIANT,-77.50794500438404
cc-pvdz,154.0,LDA,3,1,INVARIANT,-77.32844158209174
cc-pvdz,156.0,LDA,1,1,INVARIANT,-77.73645135056849
cc-pvdz,156.0,LDA,2,1,INVARIANT,-77.50481303827846
cc-pvdz,156.0,LDA,3,1,INVARIANT,-77.31958944749918
cc-pvdz,158.0,LDA,1,1,INVARIANT,-77.73815142114405
cc-pvdz,158.0,LDA,2,1,INVARIANT,-77.50168545025288
cc-pvdz,158.0,LDA,3,1,INVARIANT,-77.31076784872431
cc-pvdz,160.0,LDA,1,1,INVARIANT,-77.73973060275904
cc-pvdz,160.0,LDA,2,1,INVARIANT,-77.49857728807548
cc-pvdz,160.0,LDA,3,1,INVARIANT,-77.3019881582168
cc-pvdz,162.0,LDA,1,1,INVARIANT,-77.74119629423545
cc-pvdz,162.0,LDA,2,1,INVARIANT,-77.49550444135596
cc-pvdz,162.0,LDA,3,1,INVARIANT,-77.2932631686638
cc-pvdz,164.0,LDA,1,1,INVARIANT,-77.74255666314782
cc-pvdz,164.0,LDA,2,1,INVARIANT,-77.49248315391375
cc-pvdz,164.0,LDA,3,1,INVARIANT,-77.28460778803719
cc-pvdz,166.0,LDA,1,1,INVARIANT,-77.74382037702735
cc-pvdz,166.0,LDA,2,1,INVARIANT,-77.48952932945458
cc-pvdz,166.0,LDA,3,1,INVARIANT,-77.27603961320814
cc-pvdz,168.0,LDA,1,1,INVARIANT,-77.74499618380192
cc-pvdz,168.0,LDA,2,1,INVARIANT,-77.48665762091296
cc-pvdz,168.0,LDA,3,1,INVARIANT,-77.26757939034377
cc-pvdz,170.0,LDA,1,1,INVARIANT,-77.74609231201238
cc-pvdz,170.0,LDA,2,1,INVARIANT,-77.48388040568499
cc-pvdz,170.0,LDA,3,1,INVARIANT,-77.25925116388525
cc-pvdz,172.0,LDA,1,1,INVARIANT,-77.74711570752629
cc-pvdz,172.0,LDA,2,1,INVARIANT,-77.48120721830998
cc-pvdz,172.0,LDA,3,1,INVARIANT,-77.25108148150449
cc-pvdz,174.0,LDA,1,1,INVARIANT,-77.74807189323775
cc-pvdz,174.0,LDA,2,1,INVARIANT,-77.47864445613229
cc-pvdz,174.0,LDA,3,1,INVARIANT,-77.24309719605768
cc-pvdz,176.0,LDA,1,1,INVARIANT,-77.7489658069849
cc-pvdz,176.0,LDA,2,1,INVARIANT,-77.476196640235
cc-pvdz,176.0,LDA,3,1,INVARIANT,-77.23532060381659
cc-pvdz,178.0,LDA,1,1,INVARIANT,-77.74980333428002
cc-pvdz,178.0,LDA,2,1,INVARIANT,-77.47386792042474
cc-pvdz,178.0,LDA,3,1,INVARIANT,-77.2277641254106
cc-pvdz,179.99,LDA,1,1,INVARIANT,-77.75059181173145
cc-pvdz,179.99,LDA,2,1,INVARIANT,-77.47167690552538
cc-pvdz,179.99,LDA,3,1,INVARIANT,-77.22045691477439
