state index,energy (Hartree),torsion angle (deg),method,basis,spin multiplicity,spin type
3,-77.8993439501,152.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3115521893,154.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0457691615,154.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8915627247,154.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3134103199,156.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0422913221,156.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8839131725,156.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3150962484,158.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0387879515,158.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8764141438,158.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3166066044,160.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0352732365,160.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8690860134,160.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3179376408,162.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0317645616,162.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8619514443,162.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3190857256,164.0,XMS-CASPT2,cc-pvdz,1,
2,-78.028283809,164.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8550367545,164.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3200468223,166.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0248593697,166.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8483745178,166.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3208174876,168.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0215293104,168.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8420083118,168.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3213959884,170.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0183464264,170.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8360015994,170.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3217850459,172.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0153862536,172.0,XMS-CASPT2,cc-pvdz,1,
3,-77.8304540385,172.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3219974402,174.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0127590456,174.0,XMS-CASPT2,cc-pvdz,1,
