basis,bond length (Angstrom),state index,spin multiplicity,spin type,energy (Hartree),method
cc-pvdz,2.303370786516854,1,1,,-0.945772847042244,KS-LDA
cc-pvdz,2.303370786516854,1,3,,-0.9524048267619452,KS-LDA
cc-pvdz,2.357303370786517,1,1,,-0.9420028932843674,KS-LDA
cc-pvdz,2.357303370786517,1,3,,-0.9529126387991591,KS-LDA
cc-pvdz,2.41123595505618,1,1,,-0.938442624724202,KS-LDA
cc-pvdz,2.41123595505618,1,3,,-0.9533448310007294,KS-LDA
cc-pvdz,2.465168539325843,1,1,,-0.9350825021119951,KS-LDA
cc-pvdz,2.465168539325843,1,3,,-0.9537110286768089,KS-LDA
cc-pvdz,2.519101123595506,1,1,,-0.9319131887266281,KS-LDA
cc-pvdz,2.519101123595506,1,3,,-0.9540197601586347,KS-LDA
cc-pvdz,2.573033707865169,1,1,,-0.9289255695190209,KS-LDA
cc-pvdz,2.573033707865169,1,3,,-0.9542785798302807,KS-LDA
cc-pvdz,2.626966292134832,1,1,,-0.9261107550092259,KS-LDA
cc-pvdz,2.626966292134832,1,3,,-0.9544941568538482,KS-LDA
cc-pvdz,2.6808988764044948,1,1,,-0.9234601072788801,KS-LDA
cc-pvdz,2.6808988764044948,1,3,,-0.9546723853855857,KS-LDA
cc-pvdz,2.7348314606741577,1,1,,-0.9209652736674098,KS-LDA
cc-pvdz,2.7348314606741577,1,3,,-0.9548184915158894,KS-LDA
cc-pvdz,2.7887640449438207,1,1,,-0.9186181980393581,KS-LDA
cc-pvdz,2.7887640449438207,1,3,,-0.9549370956473368,KS-LDA
cc-pvdz,2.842696629213483,1,1,,-0.9164111156877418,KS-LDA
cc-pvdz,2.842696629213483,1,3,,-0.9550322474589782,KS-LDA
cc-pvdz,2.896629213483146,1,1,,-0.9143365626103879,KS-LDA
cc-pvdz,2.896629213483146,1,3,,-0.9551074824894259,KS-LDA
cc-pvdz,2.950561797752809,1,1,,-0.9123873998322276,KS-LDA
cc-pvdz,2.950561797752809,1,3,,-0.9551658993289827,KS-LDA
cc-pvdz,3.004494382022472,1,1,,-0.910556826228558,KS-LDA
cc-pvdz,3.004494382022472,1,3,,-0.9552102175528142,KS-LDA
cc-pvdz,3.058426966292135,1,1,,-0.9088383677768069,KS-LDA
cc-pvdz,3.058426966292135,1,3,,-0.9552428025352214,KS-LDA
cc-pvdz,3.112359550561798,1,1,,-0.9072258574151,KS-LDA
cc-pvdz,3.112359550561798,1,3,,-0.9552656815463092,KS-LDA
cc-pvdz,3.166292134831461,1,1,,-0.9057134276985415,KS-LDA
cc-pvdz,3.166292134831461,1,3,,-0.9552805826337365,KS-LDA
cc-pvdz,3.220224719101124,1,1,,-0.9042955155115269,KS-LDA
cc-pvdz,3.220224719101124,1,3,,-0.9552889905774078,KS-LDA
cc-pvdz,3.274157303370787,1,1,,-0.9029668602539997,KS-LDA
cc-pvdz,3.274157303370787,1,3,,-0.9552921907320646,KS-LDA
cc-pvdz,3.32808988764045,1,1,,-0.9017224851636262,KS-LDA
cc-pvdz,3.32808988764045,1,3,,-0.9552912869656024,KS-LDA
cc-pvdz,3.3820224719101124,1,1,,-0.9005576670927606,KS-LDA
cc-pvdz,3.3820224719101124,1,3,,-0.9552872034866109,KS-LDA
cc-pvdz,3.4359550561797754,1,1,,-0.899467912216836,KS-LDA
cc-pvdz,3.4359550561797754,1,3,,-0.9552806955305301,KS-LDA
cc-pvdz,3.4898876404494383,1,1,,-0.8984489475203347,KS-LDA
cc-pvdz,3.4898876404494383,1,3,,-0.9552723801494868,KS-LDA
cc-pvdz,3.5438202247191013,1,1,,-0.8974967203113332,KS-LDA
cc-pvdz,3.5438202247191013,1,3,,-0.9552627732395761,KS-LDA
cc-pvdz,3.5977528089887643,1,1,,-0.8966073934679428,KS-LDA
cc-pvdz,3.5977528089887643,1,3,,-0.9552523150946961,KS-LDA
cc-pvdz,3.6516853932584272,1,1,,-0.8957773301467851,KS-LDA
cc-pvdz,3.6516853932584272,1,3,,-0.955241377170359,KS-LDA
cc-pvdz,3.70561797752809,1,1,,-0.8950030710877013,KS-LDA
cc-pvdz,3.70561797752809,1,3,,-0.9552302565291149,KS-LDA
cc-pvdz,3.759550561797753,1,1,,-0.8942813158292088,KS-LDA
cc-pvdz,3.759550561797753,1,3,,-0.9552191743069368,KS-LDA
cc-pvdz,3.813483146067416,1,1,,-0.8936089168990475,KS-LDA
cc-pvdz,3.813483146067416,1,3,,-0.95520828994949,KS-LDA
cc-pvdz,3.867415730337079,1,1,,-0.8929828821015615,KS-LDA
cc-pvdz,3.867415730337079,1,3,,-0.9551977232681121,KS-LDA
cc-pvdz,3.921348314606742,1,1,,-0.8924003747257683,KS-LDA
cc-pvdz,3.921348314606742,1,3,,-0.9551875701184096,KS-LDA
cc-pvdz,3.9752808988764046,1,1,,-0.8918587078865015,KS-LDA
cc-pvdz,3.9752808988764046,1,3,,-0.9551779077084965,KS-LDA
cc-pvdz,4.0292134831460675,1,1,,-0.8913553344836801,KS-LDA
cc-pvdz,4.0292134831460675,1,3,,-0.9551687926258497,KS-LDA
cc-pvdz,4.08314606741573,1,1,,-0.8908878366215354,KS-LDA
cc-pvdz,4.08314606741573,1,3,,-0.9551602573350846,KS-LDA
cc-pvdz,4.1370786516853935,1,1,,-0.8904539188760091,KS-LDA
cc-pvdz,4.1370786516853935,1,3,,-0.9551523111133878,KS-LDA
cc-pvdz,4.191011235955056,1,1,,-0.8900514080535941,KS-LDA
cc-pvdz,4.191011235955056,1,3,,-0.9551449488238183,KS-LDA
cc-pvdz,4.244943820224719,1,1,,-0.8896782568920635,KS-LDA
cc-pvdz,4.244943820224719,1,3,,-0.9551381640835551,KS-LDA
cc-pvdz,4.298876404494382,1,1,,-0.8893325431721204,KS-LDA
cc-pvdz,4.298876404494382,1,3,,-0.9551319553231816,KS-LDA
cc-pvdz,4.352808988764045,1,1,,-0.8890124589120023,KS-LDA
cc-pvdz,4.352808988764045,1,3,,-0.9551263187242676,KS-LDA
cc-pvdz,4.406741573033708,1,1,,-0.8887162940532979,KS-LDA
cc-pvdz,4.406741573033708,1,3,,-0.9551212346626353,KS-LDA
cc-pvdz,4.460674157303371,1,1,,-0.888442423304865,KS-LDA
cc-pvdz,4.460674157303371,1,3,,-0.9551166592541401,KS-LDA
cc-pvdz,4.514606741573034,1,1,,-0.888189302542249,KS-LDA
cc-pvdz,4.514606741573034,1,3,,-0.9551125284874632,KS-LDA
cc-pvdz,4.568539325842697,1,1,,-0.887955474769522,KS-LDA
cc-pvdz,4.568539325842697,1,3,,-0.9551087735773163,KS-LDA
cc-pvdz,4.62247191011236,1,1,,-0.887739579912327,KS-LDA
cc-pvdz,4.62247191011236,1,3,,-0.9551053393976804,KS-LDA
